이름,URL,최종 URL,티어,티어명,태그,판정근거,라이브러리,문서높이,고정요소,상태
AI최적화랩(매스티지),https://masstige.io/index.html,,T2,순환형,S H,등장 대기 요소 90개 / IntersectionObserver 3회 생성 / 실행 중인 무한 반복 애니메이션 8개 / (참고) infinite 키프레임 규칙 4건 — 실행 여부는 미확인,,8732,5,측정됨
교보 라이프플래닛생명,https://www.lifeplanet.co.kr/,https://www.lifeplanet.co.kr/startmain/main.dev,T4,실시간 렌더형,S H,등장 대기 요소 5개 / (참고) infinite 키프레임 규칙 24건 — 실행 여부는 미확인 / WebGL 컨텍스트 1개,,4000,7,측정됨
뷰전,https://vsion.global/,,T2,순환형,S L H M,등장 대기 요소 13개 / ScrollTrigger(등장용으로 추정) / 실행 중인 무한 반복 애니메이션 2개 / (참고) infinite 키프레임 규칙 6건 — 실행 여부는 미확인 / (참고) 슬라이더 라이브러리(Swiper) — 자동재생 여부는 미확인,gsap scrollTrigger lenis swiper,21819,2,측정됨
포스코플로우,https://www.poscoflow.com/,https://www.poscoflow.com/kr/,T2,순환형,S L M,등장 대기 요소 48개 / ScrollTrigger(등장용으로 추정) / 실행 중인 무한 반복 애니메이션 4개 / 자동재생·루프 비디오 12개 / (참고) infinite 키프레임 규칙 20건 — 실행 여부는 미확인 / (참고) 슬라이더 라이브러리(Swiper) — 자동재생 여부는 미확인,gsap scrollTrigger lenis swiper,10959,10,측정됨
스튜디오 엑스랩,https://www.studioxlab.co.kr/,,T4,실시간 렌더형,S H M,"지연 로딩 이미지 2개 / 등장 대기 요소 28개 / IntersectionObserver 5회 생성 / 실행 중인 무한 반복 애니메이션 2개 / 자동재생·루프 비디오 1개 / (참고) infinite 키프레임 규칙 17건 — 실행 여부는 미확인 / 핀 고정 섹션 2개 / WebGL 컨텍스트 3개 / 캔버스에 매 프레임 그리는 중 (rAF 120회/초, 화면의 124%)",lenis,9053,6,측정됨
사담재,https://sadamjae.com/,,T2,순환형,S H,등장 대기 요소 76개 / 등장 애니메이션 라이브러리 / ScrollTrigger(등장용으로 추정) / 자동재생·루프 비디오 9개 / (참고) infinite 키프레임 규칙 1건 — 실행 여부는 미확인 / (참고) 슬라이더 라이브러리(Swiper) — 자동재생 여부는 미확인,gsap scrollTrigger aos swiper,6157,6,측정됨
써밋 클라비온,https://summitclavion.com/,,T2,순환형,S U,등장 대기 요소 467개 / 실행 중인 무한 반복 애니메이션 4개 / (참고) infinite 키프레임 규칙 4건 — 실행 여부는 미확인,,900,4,측정됨
도아 DOA,https://e-doa.co.kr/,,T3,스크롤 연동형,S L,등장 대기 요소 44개 / 등장 애니메이션 라이브러리 / ScrollTrigger(등장용으로 추정) / 실행 중인 무한 반복 애니메이션 4개 / 자동재생·루프 비디오 3개 / (참고) infinite 키프레임 규칙 4건 — 실행 여부는 미확인 / (참고) 슬라이더 라이브러리(Swiper) — 자동재생 여부는 미확인 / 핀 고정 섹션 2개,gsap scrollTrigger aos swiper,18592,4,측정됨
NHN클라우드,https://www.nhncloud.com/kr,,T4,실시간 렌더형,S,등장 대기 요소 84개 / IntersectionObserver 72회 생성 / (참고) infinite 키프레임 규칙 4건 — 실행 여부는 미확인 / 핀 고정 섹션 2개 / WebGL 컨텍스트 1개,,6220,3,측정됨
빨간펜(교원),https://www.kyowonedu.com/,https://www.kyowonedu.com/KEP/KEPBMain.jsp,T4,실시간 렌더형,S H,등장 대기 요소 40개 / IntersectionObserver 10회 생성 / ScrollTrigger(등장용으로 추정) / 자동재생·루프 비디오 1개 / (참고) infinite 키프레임 규칙 3건 — 실행 여부는 미확인 / (참고) 슬라이더 라이브러리(Swiper) — 자동재생 여부는 미확인 / WebGL 컨텍스트 1개,gsap scrollTrigger swiper,7523,5,측정됨
one grove,https://www.onegrove.kr/,https://www.onegrove.kr/ko,T1,등장형,S H,지연 로딩 이미지 44개 / 등장 대기 요소 10개 / IntersectionObserver 2회 생성 / (참고) infinite 키프레임 규칙 5건 — 실행 여부는 미확인,,4704,5,측정됨
언플러,https://www.onflou.com/,https://www.onflou.com/home,T2,순환형,S H M,등장 대기 요소 4개 / ScrollTrigger(등장용으로 추정) / 자동재생·루프 비디오 8개,gsap scrollTrigger lenis,4417,7,측정됨
코오롱몰,https://www.kolonmall.com/,,T1,등장형,S L H,지연 로딩 이미지 274개 / 등장 대기 요소 154개 / IntersectionObserver 10회 생성 / (참고) infinite 키프레임 규칙 6건 — 실행 여부는 미확인 / (참고) 슬라이더 라이브러리(Swiper) — 자동재생 여부는 미확인,swiper,15528,3,측정됨
이화여자대학교,https://www.ewha.ac.kr/,https://www.ewha.ac.kr/ewha/index.do,T2,순환형,S H,등장 대기 요소 30개 / 등장 애니메이션 라이브러리 / ScrollTrigger(등장용으로 추정) / 실행 중인 무한 반복 애니메이션 1개 / 자동재생·루프 비디오 1개 / (참고) infinite 키프레임 규칙 4건 — 실행 여부는 미확인 / (참고) 슬라이더 라이브러리(Swiper) — 자동재생 여부는 미확인,gsap scrollTrigger aos swiper,6704,9,측정됨
제니하우스,https://www.jennyhouse.co.kr/index.php,,T2,순환형,S L M,지연 로딩 이미지 10개 / 등장 대기 요소 31개 / 등장 애니메이션 라이브러리 / ScrollTrigger(등장용으로 추정) / 실행 중인 무한 반복 애니메이션 2개 / (참고) infinite 키프레임 규칙 1건 — 실행 여부는 미확인 / (참고) 슬라이더 라이브러리(Swiper) — 자동재생 여부는 미확인,gsap scrollTrigger lenis aos swiper,11104,6,측정됨
엔코스,https://www.ancors.co.kr/,,T3,스크롤 연동형,S L H,등장 대기 요소 31개 / IntersectionObserver 8회 생성 / ScrollTrigger(등장용으로 추정) / 실행 중인 무한 반복 애니메이션 1개 / 자동재생·루프 비디오 1개 / (참고) infinite 키프레임 규칙 16건 — 실행 여부는 미확인 / 핀 고정 섹션 3개,gsap scrollTrigger,10226,11,측정됨
백록담,https://www.baekrokdam.com/,,T4,실시간 렌더형,S H,"지연 로딩 이미지 1개 / 등장 대기 요소 6개 / IntersectionObserver 4회 생성 / 실행 중인 무한 반복 애니메이션 1개 / (참고) infinite 키프레임 규칙 2건 — 실행 여부는 미확인 / 캔버스에 매 프레임 그리는 중 (rAF 61회/초, 화면의 100%)",,7773,5,측정됨
삼성서울병원 영문,https://www.samsunghospital.com/en/,,T4,실시간 렌더형,S M,"지연 로딩 이미지 6개 / 등장 대기 요소 34개 / ScrollTrigger(등장용으로 추정) / 실행 중인 무한 반복 애니메이션 8개 / 자동재생·루프 비디오 1개 / (참고) infinite 키프레임 규칙 8건 — 실행 여부는 미확인 / (참고) 슬라이더 라이브러리(Swiper) — 자동재생 여부는 미확인 / 핀 고정 섹션 1개 / 캔버스에 매 프레임 그리는 중 (rAF 184회/초, 화면의 90%)",gsap scrollTrigger lenis swiper,9320,6,측정됨
K뉴딜아카데미,https://knda.korchamhrd.net/,,T0,정적,,특별한 동적 신호 없음,,1228,0,측정됨
불닭닷컴,https://buldak.com/kr/,,T2,순환형,S,지연 로딩 이미지 17개 / 등장 대기 요소 151개 / IntersectionObserver 11회 생성 / 실행 중인 무한 반복 애니메이션 3개 / 자동재생·루프 비디오 1개 / (참고) infinite 키프레임 규칙 17건 — 실행 여부는 미확인,,5731,7,측정됨
크림,https://www.crea-m.com/,https://www.crea-m.com/ko,T2,순환형,S H,등장 대기 요소 41개 / IntersectionObserver 3회 생성 / 자동재생·루프 비디오 8개 / (참고) infinite 키프레임 규칙 14건 — 실행 여부는 미확인,,8871,3,측정됨
영림프라임창호,http://ylchem.co.kr,http://ylchem.co.kr/,T2,순환형,S H,등장 대기 요소 9개 / ScrollTrigger(등장용으로 추정) / 자동재생·루프 비디오 1개 / (참고) infinite 키프레임 규칙 8건 — 실행 여부는 미확인 / (참고) 슬라이더 라이브러리(Swiper) — 자동재생 여부는 미확인,gsap scrollTrigger swiper,6571,8,측정됨
센트레빌 아스테이룸 거제,https://xn--v69aw3t99ak5in9d1rcn6g6ods3d556ajsd.com/,,T2,순환형,S,등장 대기 요소 84개 / 등장 애니메이션 라이브러리 / ScrollTrigger(등장용으로 추정) / 실행 중인 무한 반복 애니메이션 88개 / 자동재생·루프 비디오 10개,gsap scrollTrigger aos,5784,11,측정됨
모리스,https://morris.co.kr/,https://morris.co.kr/kr/,T1,등장형,S H,등장 대기 요소 6개 / ScrollTrigger(등장용으로 추정) / (참고) infinite 키프레임 규칙 1건 — 실행 여부는 미확인 / (참고) 슬라이더 라이브러리(Swiper) — 자동재생 여부는 미확인,gsap scrollTrigger swiper,8923,4,측정됨
이스트소프트,https://estsoft.ai/,,T3,스크롤 연동형,S L H,지연 로딩 이미지 98개 / 등장 대기 요소 129개 / IntersectionObserver 80회 생성 / 자동재생·루프 비디오 1개 / (참고) infinite 키프레임 규칙 1건 — 실행 여부는 미확인 / 가로 스크롤 섹션 1개,,21079,2,측정됨
밀크T초등 바로체험,https://web.milkt.co.kr/,,T4,실시간 렌더형,S,등장 대기 요소 4개 / 실행 중인 무한 반복 애니메이션 6개 / 자동재생·루프 비디오 1개 / (참고) 슬라이더 라이브러리(Swiper) — 자동재생 여부는 미확인 / WebGL 컨텍스트 1개,swiper,950,5,측정됨
퓨어글로벌,https://thepureglobal.com/,,T3,스크롤 연동형,S H M,지연 로딩 이미지 7개 / 등장 대기 요소 16개 / ScrollTrigger(등장용으로 추정) / 실행 중인 무한 반복 애니메이션 8개 / 자동재생·루프 비디오 2개 / (참고) infinite 키프레임 규칙 3건 — 실행 여부는 미확인 / 핀 고정 섹션 1개,gsap scrollTrigger lenis,4064,5,측정됨
크리에이츠,https://mycreatz.com/,https://mycreatz.com/kr/index.php,T3,스크롤 연동형,S L H,등장 대기 요소 36개 / ScrollTrigger(등장용으로 추정) / 실행 중인 무한 반복 애니메이션 15개 / (참고) infinite 키프레임 규칙 11건 — 실행 여부는 미확인 / (참고) 슬라이더 라이브러리(Swiper) — 자동재생 여부는 미확인 / 핀 고정 섹션 6개,gsap scrollTrigger swiper,9835,12,측정됨
브리비,https://brivyy.co.kr/,,T3,스크롤 연동형,S H,지연 로딩 이미지 91개 / 등장 대기 요소 16개 / IntersectionObserver 7회 생성 / 실행 중인 무한 반복 애니메이션 6개 / (참고) infinite 키프레임 규칙 15건 — 실행 여부는 미확인 / 핀 고정 섹션 2개 / 가로 스크롤 섹션 1개,,5585,6,측정됨
모두의매트,https://modoomat.com,https://modoomat.com/,T4,실시간 렌더형,S L M,"지연 로딩 이미지 19개 / 등장 대기 요소 110개 / IntersectionObserver 98회 생성 / (참고) infinite 키프레임 규칙 1건 — 실행 여부는 미확인 / 핀 고정 섹션 4개 / WebGL 컨텍스트 1개 / 캔버스에 매 프레임 그리는 중 (rAF 244회/초, 화면의 99%)",lenis,23532,8,측정됨
더 신라,https://www.shillahotels.com/,https://www.shillahotels.com/ko/shillahotels/hub/index.do,T2,순환형,S,등장 대기 요소 11개 / 자동재생·루프 비디오 1개 / (참고) infinite 키프레임 규칙 1건 — 실행 여부는 미확인 / (참고) 슬라이더 라이브러리(Swiper) — 자동재생 여부는 미확인,swiper,8599,22,측정됨
KIM SEUNGHYUK 포트폴리오,https://seunghyuk.com,https://seunghyuk.com/,T4,실시간 렌더형,S M,"등장 대기 요소 6개 / WebGL 컨텍스트 1개 / 캔버스에 매 프레임 그리는 중 (rAF 161회/초, 화면의 100%)",lenis,4974,21,측정됨
한국전광,https://keoc.kr/,,T2,순환형,S L,등장 대기 요소 39개 / ScrollTrigger(등장용으로 추정) / 자동재생·루프 비디오 2개 / (참고) infinite 키프레임 규칙 1건 — 실행 여부는 미확인 / (참고) 슬라이더 라이브러리(Swiper) — 자동재생 여부는 미확인,gsap scrollTrigger swiper,11029,4,측정됨
더가든피부과,https://thegardenclinic.co.kr/,,T2,순환형,S L H,지연 로딩 이미지 55개 / 등장 대기 요소 16개 / IntersectionObserver 3회 생성 / 등장 애니메이션 라이브러리 / ScrollTrigger(등장용으로 추정) / 실행 중인 무한 반복 애니메이션 4개 / 자동재생·루프 비디오 1개 / (참고) infinite 키프레임 규칙 17건 — 실행 여부는 미확인 / (참고) 슬라이더 라이브러리(Swiper) — 자동재생 여부는 미확인,gsap scrollTrigger aos swiper,17446,12,측정됨
윌비랩,https://willbe-lab.co.kr/,,T4,실시간 렌더형,S H,등장 대기 요소 96개 / (참고) infinite 키프레임 규칙 1건 — 실행 여부는 미확인 / (참고) 슬라이더 라이브러리(Swiper) — 자동재생 여부는 미확인 / 핀 고정 섹션 1개 / WebGL 컨텍스트 1개,swiper,8683,6,측정됨
더샵천안라크원,https://더샵천안라크원.kr,https://xn--9m1bw2f3rksoeb6bl4oj1g.kr/,T2,순환형,S H U,등장 대기 요소 117개 / ScrollTrigger(등장용으로 추정) / 실행 중인 무한 반복 애니메이션 4개 / (참고) infinite 키프레임 규칙 8건 — 실행 여부는 미확인 / (참고) 슬라이더 라이브러리(Swiper) — 자동재생 여부는 미확인,scrollTrigger swiper,900,7,측정됨
한빛산업,https://hanvit-ind.com/,,T2,순환형,S H M,등장 대기 요소 44개 / ScrollTrigger(등장용으로 추정) / 실행 중인 무한 반복 애니메이션 4개 / 자동재생·루프 비디오 6개 / (참고) infinite 키프레임 규칙 4건 — 실행 여부는 미확인 / (참고) 슬라이더 라이브러리(Swiper) — 자동재생 여부는 미확인,gsap scrollTrigger lenis swiper,9812,3,측정됨
대한항공,https://www.koreanair.com/,,,,,,,,,실패: goto: page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://www.koreanair.com/ (HTTP/1.1 재시도도 실패: goto: page.goto: Timeout 45000ms exceeded.)
