이름,URL,티어,티어명,태그,판정근거,라이브러리,문서높이,고정요소,상태
영림프라임창호,http://ylchem.co.kr,T3,스크롤 연동형,S H,등장 대기 요소 9개 / infinite 키프레임 규칙 8건 / 자동재생·루프 비디오 1개 / 슬라이더 라이브러리(Swiper) / GSAP ScrollTrigger,gsap scrollTrigger swiper,6571,8,측정됨
센트레빌 아스테이룸 거제,https://xn--v69aw3t99ak5in9d1rcn6g6ods3d556ajsd.com/,T3,스크롤 연동형,S,등장 대기 요소 84개 / 등장 애니메이션 라이브러리 / 무한 반복 애니메이션 88개 / 자동재생·루프 비디오 10개 / GSAP ScrollTrigger,gsap scrollTrigger aos,5784,11,측정됨
모리스,https://morris.co.kr/,T3,스크롤 연동형,S H,등장 대기 요소 6개 / infinite 키프레임 규칙 1건 / 슬라이더 라이브러리(Swiper) / GSAP ScrollTrigger,gsap scrollTrigger swiper,8923,4,측정됨
이스트소프트,https://estsoft.ai/,T3,스크롤 연동형,S L H,지연 로딩 이미지 98개 / 등장 대기 요소 129개 / IntersectionObserver 80회 생성 / infinite 키프레임 규칙 1건 / 자동재생·루프 비디오 1개 / 가로 스크롤 섹션 1개,,21079,2,측정됨
밀크T초등 바로체험,https://web.milkt.co.kr/,T4,실시간 렌더형,S,등장 대기 요소 4개 / 무한 반복 애니메이션 6개 / 자동재생·루프 비디오 1개 / 슬라이더 라이브러리(Swiper) / WebGL 컨텍스트 1개,swiper,950,5,측정됨
퓨어글로벌,https://thepureglobal.com/,T3,스크롤 연동형,S H,지연 로딩 이미지 7개 / 등장 대기 요소 16개 / 무한 반복 애니메이션 8개 / infinite 키프레임 규칙 3건 / 자동재생·루프 비디오 2개 / GSAP ScrollTrigger / 스무스 스크롤 하이재킹 / 핀 고정 섹션 1개,gsap scrollTrigger lenis,4064,5,측정됨
크리에이츠,https://mycreatz.com/,T3,스크롤 연동형,S L H,등장 대기 요소 42개 / 무한 반복 애니메이션 15개 / infinite 키프레임 규칙 11건 / 슬라이더 라이브러리(Swiper) / GSAP ScrollTrigger / 핀 고정 섹션 6개,gsap scrollTrigger swiper,9835,12,측정됨
브리비,https://brivyy.co.kr/,T3,스크롤 연동형,S H,지연 로딩 이미지 91개 / 등장 대기 요소 16개 / IntersectionObserver 7회 생성 / 무한 반복 애니메이션 6개 / infinite 키프레임 규칙 15건 / 핀 고정 섹션 2개 / 가로 스크롤 섹션 1개,,5565,6,측정됨
모두의매트,https://modoomat.com,T4,실시간 렌더형,S L,지연 로딩 이미지 19개 / 등장 대기 요소 110개 / IntersectionObserver 98회 생성 / infinite 키프레임 규칙 1건 / 스무스 스크롤 하이재킹 / 핀 고정 섹션 4개 / WebGL 컨텍스트 1개 / 유휴 상태에서도 rAF 256회/초 + 대형 canvas,lenis,23590,8,측정됨
더 신라,https://www.shillahotels.com/,T2,순환형,S,등장 대기 요소 12개 / infinite 키프레임 규칙 1건 / 자동재생·루프 비디오 1개 / 슬라이더 라이브러리(Swiper),swiper,8599,22,측정됨
KIM SEUNGHYUK 포트폴리오,https://seunghyuk.com,T4,실시간 렌더형,S,등장 대기 요소 6개 / 스무스 스크롤 하이재킹 / WebGL 컨텍스트 1개 / 유휴 상태에서도 rAF 168회/초 + 대형 canvas,lenis,4974,20,측정됨
한국전광,https://keoc.kr/,T3,스크롤 연동형,S L,등장 대기 요소 39개 / infinite 키프레임 규칙 1건 / 자동재생·루프 비디오 2개 / 슬라이더 라이브러리(Swiper) / GSAP ScrollTrigger,gsap scrollTrigger swiper,11029,4,측정됨
더가든피부과,https://thegardenclinic.co.kr/,T3,스크롤 연동형,S L H,지연 로딩 이미지 55개 / 등장 대기 요소 16개 / IntersectionObserver 3회 생성 / 등장 애니메이션 라이브러리 / 무한 반복 애니메이션 4개 / infinite 키프레임 규칙 17건 / 자동재생·루프 비디오 1개 / 슬라이더 라이브러리(Swiper) / GSAP ScrollTrigger,gsap scrollTrigger aos swiper,17446,12,측정됨
윌비랩,https://willbe-lab.co.kr/,T4,실시간 렌더형,S H,등장 대기 요소 96개 / infinite 키프레임 규칙 1건 / 슬라이더 라이브러리(Swiper) / 핀 고정 섹션 1개 / WebGL 컨텍스트 1개,swiper,8683,6,측정됨
더샵천안라크원,https://더샵천안라크원.kr,T3,스크롤 연동형,S H,등장 대기 요소 117개 / 무한 반복 애니메이션 4개 / infinite 키프레임 규칙 8건 / 슬라이더 라이브러리(Swiper) / GSAP ScrollTrigger,scrollTrigger swiper,900,7,측정됨
한빛산업,https://hanvit-ind.com/,T3,스크롤 연동형,S H,등장 대기 요소 44개 / 무한 반복 애니메이션 4개 / infinite 키프레임 규칙 4건 / 자동재생·루프 비디오 6개 / 슬라이더 라이브러리(Swiper) / GSAP ScrollTrigger / 스무스 스크롤 하이재킹,gsap scrollTrigger lenis swiper,9812,3,측정됨
대한항공,https://www.koreanair.com/,,,,,,,,실패: goto: page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://www.koreanair.com/
